Order_ID,Order_Date,Expected_Delivery_Date,Actual_Delivery_Date,Supplier_ID,Supplier_Name,Supplier_City,Supplier_State,Product_ID,Product_Name,Category,Warehouse,Shipping_Mode,Quantity,Unit_Cost_INR,Total_Cost_INR,Freight_Cost_INR,Discount_Pct,Final_Cost_INR,Lead_Time_Days,Delay_Days,Order_Status,Payment_Terms,Quality_Rating
ORD-2024-0098,2024-01-04,2024-01-05,2024-01-05,SUP004,BlueDart Express,Bangalore,India,P005,Copper Wiring,Electronics,WH-Delhi,Air,14,925.05,12950.63,1036.05,0,13986.68,1,0,Delivered,COD,4.1
ORD-2024-0022,2024-01-05,2024-01-18,2024-01-24,SUP008,VRL Logistics,Nagpur,India,P010,LED Modules,Electronics,WH-Delhi,Sea,5,736.65,3683.27,55.25,8,3443.86,13,6,Delayed,Net 60,
ORD-2024-0061,2024-01-11,2024-01-17,,SUP005,Mahindra Logistics,Pune,India,P010,LED Modules,Electronics,WH-Bangalore,Road,9,614.49,5530.43,165.91,2,5585.73,6,0,In Transit,Net 30,
ORD-2024-0035,2024-01-13,2024-01-29,,SUP001,Tata Steel Ltd,Mumbai,India,P004,Plastic Granules,Raw Material,WH-Bangalore,Sea,37,303.55,11231.53,168.47,5,10838.42,16,0,Pending,Advance,
ORD-2024-0002,2024-01-16,2024-01-19,,SUP002,Reliance Logistics,Delhi,India,P004,Plastic Granules,Raw Material,WH-Bangalore,Road,42,344.11,14452.45,433.57,2,14596.97,3,0,Pending,COD,
ORD-2024-0088,2024-01-16,2024-01-24,2024-01-24,SUP001,Tata Steel Ltd,Mumbai,India,P008,Chemical Compounds,Chemicals,WH-Pune,Rail,3,1649.56,4948.67,98.97,0,5047.64,8,0,Delivered,COD,4.4
ORD-2024-0063,2024-01-19,2024-01-22,,SUP008,VRL Logistics,Nagpur,India,P002,Industrial Bearings,Machinery,WH-Bangalore,Road,1,1277.3,1277.3,38.32,2,1290.07,3,0,Cancelled,Net 30,
ORD-2024-0082,2024-01-24,2024-02-11,2024-02-11,SUP001,Tata Steel Ltd,Mumbai,India,P005,Copper Wiring,Electronics,WH-Delhi,Sea,18,984.69,17724.35,265.87,5,17104.0,18,0,Delivered,Advance,4.3
ORD-2024-0012,2024-01-30,2024-01-31,,SUP004,BlueDart Express,Bangalore,India,P010,LED Modules,Electronics,WH-Pune,Air,5,605.86,3029.32,242.35,2,3211.08,1,0,Cancelled,Net 45,
ORD-2024-0186,2024-02-02,2024-02-08,2024-02-08,SUP003,DHL Supply Chain,Chennai,India,P007,Packaging Material,Consumables,WH-Mumbai,Road,64,157.27,10065.14,301.95,0,10367.09,6,0,Delivered,Net 45,3.6
ORD-2024-0119,2024-02-04,2024-02-05,,SUP001,Tata Steel Ltd,Mumbai,India,P007,Packaging Material,Consumables,WH-Delhi,Air,3,148.39,445.17,35.61,0,480.78,1,0,Pending,Net 30,
ORD-2024-0136,2024-02-07,2024-02-13,2024-02-17,SUP001,Tata Steel Ltd,Mumbai,India,P003,Raw Steel Sheets,Raw Material,WH-Chennai,Road,11,501.92,5521.09,165.63,0,5686.72,6,4,Delayed,Advance,
ORD-2024-0026,2024-02-08,2024-02-15,,SUP003,DHL Supply Chain,Chennai,India,P009,Spare Parts Kit,Machinery,WH-Mumbai,Road,2,2913.46,5826.93,174.81,0,6001.74,7,0,In Transit,Net 60,
ORD-2024-0199,2024-02-13,2024-02-16,,SUP003,DHL Supply Chain,Chennai,India,P006,Hydraulic Pumps,Machinery,WH-Delhi,Road,2,2569.27,5138.53,154.16,2,5189.92,3,0,Pending,COD,
ORD-2024-0095,2024-02-16,2024-02-20,,SUP004,BlueDart Express,Bangalore,India,P007,Packaging Material,Consumables,WH-Mumbai,Road,42,164.13,6893.52,206.81,2,6962.46,4,0,Pending,Net 30,
ORD-2024-0184,2024-02-16,2024-02-19,2024-02-19,SUP001,Tata Steel Ltd,Mumbai,India,P005,Copper Wiring,Electronics,WH-Mumbai,Road,18,1007.55,18135.86,544.08,0,18679.94,3,0,Delivered,Net 60,4.1
ORD-2024-0139,2024-02-16,2024-02-20,2024-02-20,SUP007,Gati Ltd,Kolkata,India,P009,Spare Parts Kit,Machinery,WH-Mumbai,Road,4,3108.6,12434.39,373.03,0,12807.42,4,0,Delivered,Advance,3.3
ORD-2024-0091,2024-02-19,2024-02-26,,SUP006,DTDC Courier,Hyderabad,India,P003,Raw Steel Sheets,Raw Material,WH-Bangalore,Road,4,451.22,1804.86,54.15,8,1714.62,7,0,Pending,Net 30,
ORD-2024-0016,2024-02-19,2024-02-22,,SUP007,Gati Ltd,Kolkata,India,P006,Hydraulic Pumps,Machinery,WH-Mumbai,Road,1,2287.88,2287.88,68.64,5,2242.13,3,0,Pending,Net 45,
ORD-2024-0197,2024-02-22,2024-02-25,,SUP003,DHL Supply Chain,Chennai,India,P006,Hydraulic Pumps,Machinery,WH-Pune,Road,4,2579.82,10319.29,309.58,2,10422.48,3,0,Cancelled,Advance,
ORD-2024-0010,2024-02-27,2024-03-03,2024-03-06,SUP005,Mahindra Logistics,Pune,India,P007,Packaging Material,Consumables,WH-Pune,Road,81,146.19,11841.53,355.25,2,11959.95,5,3,Delayed,Net 45,
ORD-2024-0093,2024-02-28,2024-03-06,,SUP005,Mahindra Logistics,Pune,India,P010,LED Modules,Electronics,WH-Chennai,Road,21,675.47,14184.87,425.55,2,14326.72,7,0,Pending,Net 30,
ORD-2024-0097,2024-02-28,2024-03-06,,SUP006,DTDC Courier,Hyderabad,India,P007,Packaging Material,Consumables,WH-Pune,Road,40,136.7,5468.13,164.04,0,5632.17,7,0,Pending,Net 30,
ORD-2024-0024,2024-02-29,2024-03-05,,SUP002,Reliance Logistics,Delhi,India,P012,Safety Equipment,Consumables,WH-Chennai,Road,22,399.38,8786.31,263.59,2,8874.17,5,0,Pending,COD,
ORD-2024-0014,2024-03-02,2024-03-09,2024-03-14,SUP004,BlueDart Express,Bangalore,India,P004,Plastic Granules,Raw Material,WH-Delhi,Road,1,293.68,293.68,8.81,2,296.62,7,5,Delayed,Net 30,
ORD-2024-0054,2024-03-05,2024-03-08,,SUP008,VRL Logistics,Nagpur,India,P002,Industrial Bearings,Machinery,WH-Bangalore,Air,6,1135.31,6811.85,544.95,0,7356.8,3,0,In Transit,Net 30,
ORD-2024-0132,2024-03-07,2024-03-08,2024-03-08,SUP007,Gati Ltd,Kolkata,India,P009,Spare Parts Kit,Machinery,WH-Chennai,Air,2,3156.82,6313.64,505.09,8,6313.64,1,0,Delivered,Net 30,3.5
ORD-2024-0137,2024-03-07,2024-03-11,2024-03-11,SUP006,DTDC Courier,Hyderabad,India,P009,Spare Parts Kit,Machinery,WH-Pune,Road,1,2920.48,2920.48,87.61,8,2774.45,4,0,Delivered,Advance,3.5
ORD-2024-0190,2024-03-12,2024-03-18,,SUP005,Mahindra Logistics,Pune,India,P004,Plastic Granules,Raw Material,WH-Pune,Road,39,326.34,12727.21,381.82,2,12854.49,6,0,In Transit,Advance,
ORD-2024-0126,2024-03-14,2024-03-19,2024-03-21,SUP008,VRL Logistics,Nagpur,India,P001,Electronic Components,Electronics,WH-Chennai,Road,10,797.61,7976.06,239.28,2,8055.82,5,2,Delayed,Net 60,
ORD-2024-0086,2024-03-15,2024-03-18,2024-03-18,SUP003,DHL Supply Chain,Chennai,India,P009,Spare Parts Kit,Machinery,WH-Chennai,Road,2,3351.08,6702.16,201.06,0,6903.22,3,0,Delivered,Net 30,3.3
ORD-2024-0167,2024-03-17,2024-03-23,2024-03-23,SUP005,Mahindra Logistics,Pune,India,P007,Packaging Material,Consumables,WH-Pune,Road,8,156.09,1248.72,37.46,10,1161.31,6,0,Delivered,COD,3.3
ORD-2024-0193,2024-03-18,2024-03-24,,SUP006,DTDC Courier,Hyderabad,India,P001,Electronic Components,Electronics,WH-Bangalore,Road,12,795.11,9541.27,286.24,0,9827.51,6,0,Cancelled,Net 45,
ORD-2024-0039,2024-03-18,2024-03-23,,SUP004,BlueDart Express,Bangalore,India,P007,Packaging Material,Consumables,WH-Delhi,Rail,43,155.35,6679.96,133.6,2,6679.96,5,0,In Transit,Advance,
ORD-2024-0011,2024-03-19,2024-03-22,,SUP006,DTDC Courier,Hyderabad,India,P003,Raw Steel Sheets,Raw Material,WH-Chennai,Road,1,417.59,417.59,12.53,0,430.12,3,0,In Transit,Net 45,
ORD-2024-0096,2024-03-20,2024-03-25,,SUP003,DHL Supply Chain,Chennai,India,P010,LED Modules,Electronics,WH-Delhi,Road,16,683.65,10938.4,328.15,2,11047.78,5,0,In Transit,COD,
ORD-2024-0094,2024-04-02,2024-04-07,,SUP005,Mahindra Logistics,Pune,India,P012,Safety Equipment,Consumables,WH-Delhi,Rail,10,437.46,4374.64,87.49,2,4374.64,5,0,Cancelled,Net 30,
ORD-2024-0064,2024-04-06,2024-04-11,2024-04-11,SUP006,DTDC Courier,Hyderabad,India,P010,LED Modules,Electronics,WH-Mumbai,Rail,10,656.19,6561.94,131.24,5,6365.08,5,0,Delivered,Net 30,4.9
ORD-2024-0017,2024-04-08,2024-04-12,2024-04-12,SUP004,BlueDart Express,Bangalore,India,P009,Spare Parts Kit,Machinery,WH-Mumbai,Road,1,2920.47,2920.47,87.61,10,2716.03,4,0,Delivered,Net 30,4.9
ORD-2024-0005,2024-04-08,2024-04-14,,SUP002,Reliance Logistics,Delhi,India,P001,Electronic Components,Electronics,WH-Delhi,Rail,5,861.35,4306.75,86.14,5,4177.55,6,0,In Transit,Net 60,
ORD-2024-0102,2024-04-09,2024-04-15,2024-04-15,SUP006,DTDC Courier,Hyderabad,India,P006,Hydraulic Pumps,Machinery,WH-Mumbai,Rail,5,2345.54,11727.72,234.55,5,11375.88,6,0,Delivered,Net 45,4.9
ORD-2024-0046,2024-04-11,2024-04-16,,SUP002,Reliance Logistics,Delhi,India,P010,LED Modules,Electronics,WH-Pune,Rail,22,682.57,15016.47,300.33,0,15316.8,5,0,Cancelled,Net 30,
ORD-2024-0130,2024-04-12,2024-04-21,2024-04-21,SUP003,DHL Supply Chain,Chennai,India,P004,Plastic Granules,Raw Material,WH-Mumbai,Rail,36,298.38,10741.74,214.83,8,10097.23,9,0,Delivered,Net 60,3.8
ORD-2024-0158,2024-04-13,2024-04-19,2024-04-19,SUP003,DHL Supply Chain,Chennai,India,P003,Raw Steel Sheets,Raw Material,WH-Bangalore,Road,29,462.42,13410.1,402.3,5,13141.89,6,0,Delivered,Net 45,4.0
ORD-2024-0164,2024-04-15,2024-04-22,2024-04-22,SUP002,Reliance Logistics,Delhi,India,P002,Industrial Bearings,Machinery,WH-Mumbai,Road,4,1241.93,4967.71,149.03,5,4868.35,7,0,Delivered,Net 45,4.0
ORD-2024-0027,2024-04-17,2024-04-23,2024-04-25,SUP004,BlueDart Express,Bangalore,India,P011,Rubber Seals,Raw Material,WH-Delhi,Road,52,264.39,13748.47,412.45,2,13885.95,6,2,Delivered,Net 60,4.6
ORD-2024-0050,2024-04-18,2024-04-23,2024-04-28,SUP006,DTDC Courier,Hyderabad,India,P005,Copper Wiring,Electronics,WH-Pune,Road,3,941.13,2823.4,84.7,2,2851.63,5,5,Delayed,Net 45,
ORD-2024-0044,2024-04-24,2024-04-28,2024-05-02,SUP002,Reliance Logistics,Delhi,India,P011,Rubber Seals,Raw Material,WH-Pune,Road,16,260.84,4173.37,125.2,5,4089.9,4,4,Delayed,Net 45,
ORD-2024-0059,2024-04-25,2024-05-01,2024-05-07,SUP003,DHL Supply Chain,Chennai,India,P005,Copper Wiring,Electronics,WH-Bangalore,Rail,15,912.47,13687.0,273.74,5,13276.39,6,6,Delayed,Net 60,
ORD-2024-0179,2024-04-27,2024-04-29,,SUP004,BlueDart Express,Bangalore,India,P012,Safety Equipment,Consumables,WH-Mumbai,Air,18,472.43,8503.7,680.3,2,9013.93,2,0,Pending,Net 45,
ORD-2024-0152,2024-04-28,2024-05-01,2024-05-01,SUP001,Tata Steel Ltd,Mumbai,India,P003,Raw Steel Sheets,Raw Material,WH-Chennai,Road,1,438.57,438.57,13.16,2,442.96,3,0,Delivered,Net 60,3.9
ORD-2024-0168,2024-05-04,2024-05-10,2024-05-15,SUP005,Mahindra Logistics,Pune,India,P004,Plastic Granules,Raw Material,WH-Pune,Road,4,309.48,1237.91,37.14,5,1213.15,6,5,Delayed,Net 30,
ORD-2024-0036,2024-05-04,2024-05-10,,SUP003,DHL Supply Chain,Chennai,India,P011,Rubber Seals,Raw Material,WH-Delhi,Rail,45,288.26,12971.57,259.43,0,13231.0,6,0,Cancelled,Net 30,
ORD-2024-0008,2024-05-06,2024-05-12,2024-05-12,SUP005,Mahindra Logistics,Pune,India,P012,Safety Equipment,Consumables,WH-Delhi,Road,4,468.42,1873.66,56.21,0,1929.87,6,0,Delivered,Advance,4.2
ORD-2024-0140,2024-05-15,2024-05-18,2024-05-18,SUP006,DTDC Courier,Hyderabad,India,P007,Packaging Material,Consumables,WH-Pune,Road,10,149.49,1494.88,44.85,2,1509.83,3,0,Delivered,Net 60,4.7
ORD-2024-0013,2024-05-15,2024-05-18,,SUP007,Gati Ltd,Kolkata,India,P004,Plastic Granules,Raw Material,WH-Pune,Air,43,339.99,14619.58,1169.57,2,15496.76,3,0,In Transit,Advance,
ORD-2024-0053,2024-05-21,2024-05-28,2024-05-28,SUP005,Mahindra Logistics,Pune,India,P002,Industrial Bearings,Machinery,WH-Pune,Rail,3,1162.29,3486.88,69.74,10,3207.93,7,0,Delivered,Net 60,4.4
ORD-2024-0003,2024-05-22,2024-05-28,,SUP001,Tata Steel Ltd,Mumbai,India,P003,Raw Steel Sheets,Raw Material,WH-Chennai,Rail,11,416.5,4581.49,91.63,0,4673.12,6,0,Cancelled,Net 60,
ORD-2024-0113,2024-05-24,2024-05-28,,SUP007,Gati Ltd,Kolkata,India,P009,Spare Parts Kit,Machinery,WH-Chennai,Road,3,2921.74,8765.23,262.96,2,8852.89,4,0,Cancelled,COD,
ORD-2024-0023,2024-05-25,2024-06-03,2024-06-05,SUP003,DHL Supply Chain,Chennai,India,P008,Chemical Compounds,Chemicals,WH-Delhi,Rail,9,1754.72,15792.48,315.85,5,15318.71,9,2,Delayed,Net 60,
ORD-2024-0116,2024-05-26,2024-06-03,2024-06-03,SUP008,VRL Logistics,Nagpur,India,P012,Safety Equipment,Consumables,WH-Pune,Rail,14,465.67,6519.4,130.39,2,6519.4,8,0,Delivered,COD,3.8
ORD-2024-0092,2024-05-27,2024-05-31,,SUP005,Mahindra Logistics,Pune,India,P006,Hydraulic Pumps,Machinery,WH-Pune,Road,2,2779.55,5559.09,166.77,0,5725.86,4,0,In Transit,Net 60,
ORD-2024-0165,2024-05-28,2024-06-04,2024-06-04,SUP004,BlueDart Express,Bangalore,India,P012,Safety Equipment,Consumables,WH-Mumbai,Road,34,401.21,13641.12,409.23,0,14050.35,7,0,Delivered,COD,4.9
ORD-2024-0149,2024-05-28,2024-06-17,2024-06-17,SUP001,Tata Steel Ltd,Mumbai,India,P005,Copper Wiring,Electronics,WH-Chennai,Sea,18,948.43,17071.7,256.08,2,16986.35,20,0,Delivered,Net 45,3.2
ORD-2024-0066,2024-05-29,2024-06-06,2024-06-06,SUP005,Mahindra Logistics,Pune,India,P007,Packaging Material,Consumables,WH-Mumbai,Rail,77,154.06,11862.55,237.25,8,11150.8,8,0,Delivered,Net 60,4.5
ORD-2024-0124,2024-05-30,2024-06-04,2024-06-12,SUP006,DTDC Courier,Hyderabad,India,P002,Industrial Bearings,Machinery,WH-Mumbai,Road,3,1286.93,3860.79,115.82,0,3976.61,5,8,Delayed,Net 60,
ORD-2024-0033,2024-06-03,2024-06-09,,SUP007,Gati Ltd,Kolkata,India,P009,Spare Parts Kit,Machinery,WH-Delhi,Rail,3,3251.99,9755.97,195.12,2,9755.97,6,0,Cancelled,COD,
ORD-2024-0029,2024-06-05,2024-06-11,,SUP004,BlueDart Express,Bangalore,India,P004,Plastic Granules,Raw Material,WH-Pune,Road,5,365.35,1826.76,54.8,0,1881.56,6,0,Cancelled,Advance,
ORD-2024-0032,2024-06-09,2024-06-12,2024-06-12,SUP002,Reliance Logistics,Delhi,India,P012,Safety Equipment,Consumables,WH-Bangalore,Air,9,398.14,3583.29,286.66,5,3690.79,3,0,Delivered,Net 45,4.2
ORD-2024-0106,2024-06-13,2024-06-19,,SUP008,VRL Logistics,Nagpur,India,P009,Spare Parts Kit,Machinery,WH-Delhi,Road,1,3283.64,3283.64,98.51,0,3382.15,6,0,Pending,Advance,
ORD-2024-0049,2024-06-14,2024-06-18,2024-06-26,SUP004,BlueDart Express,Bangalore,India,P002,Industrial Bearings,Machinery,WH-Delhi,Road,6,1088.61,6531.66,195.95,8,6205.08,4,8,Delayed,Advance,
ORD-2024-0043,2024-06-16,2024-06-21,,SUP004,BlueDart Express,Bangalore,India,P008,Chemical Compounds,Chemicals,WH-Mumbai,Road,2,1831.64,3663.28,109.9,5,3590.02,5,0,Cancelled,Net 60,
ORD-2024-0108,2024-06-17,2024-06-27,2024-07-01,SUP002,Reliance Logistics,Delhi,India,P009,Spare Parts Kit,Machinery,WH-Chennai,Rail,3,2945.2,8835.6,176.71,5,8570.53,10,4,Delayed,Net 60,
ORD-2024-0192,2024-06-18,2024-06-22,2024-06-27,SUP007,Gati Ltd,Kolkata,India,P002,Industrial Bearings,Machinery,WH-Pune,Road,8,1192.24,9537.89,286.14,2,9633.27,4,5,Delayed,COD,
ORD-2024-0143,2024-06-21,2024-06-24,,SUP008,VRL Logistics,Nagpur,India,P012,Safety Equipment,Consumables,WH-Mumbai,Road,8,480.89,3847.11,115.41,2,3885.58,3,0,Pending,COD,
ORD-2024-0123,2024-06-22,2024-06-29,,SUP003,DHL Supply Chain,Chennai,India,P008,Chemical Compounds,Chemicals,WH-Delhi,Rail,7,1655.52,11588.62,231.77,2,11588.62,7,0,Pending,COD,
ORD-2024-0160,2024-06-25,2024-07-09,,SUP002,Reliance Logistics,Delhi,India,P009,Spare Parts Kit,Machinery,WH-Bangalore,Sea,2,3495.18,6990.36,104.86,5,6745.7,14,0,In Transit,Net 60,
ORD-2024-0047,2024-06-26,2024-07-01,,SUP007,Gati Ltd,Kolkata,India,P011,Rubber Seals,Raw Material,WH-Bangalore,Road,32,259.39,8300.41,249.01,10,7719.38,5,0,Cancelled,Net 45,
ORD-2024-0163,2024-06-26,2024-06-29,,SUP003,DHL Supply Chain,Chennai,India,P005,Copper Wiring,Electronics,WH-Mumbai,Road,20,1069.68,21393.66,641.81,8,20323.98,3,0,In Transit,Net 45,
ORD-2024-0006,2024-06-30,2024-07-03,2024-07-03,SUP004,BlueDart Express,Bangalore,India,P011,Rubber Seals,Raw Material,WH-Pune,Road,11,284.36,3127.94,93.84,0,3221.78,3,0,Delivered,Net 45,4.4
ORD-2024-0112,2024-07-05,2024-07-11,2024-07-14,SUP004,BlueDart Express,Bangalore,India,P008,Chemical Compounds,Chemicals,WH-Pune,Rail,8,2026.79,16214.31,324.29,0,16538.6,6,3,Delivered,Advance,3.9
ORD-2024-0189,2024-07-05,2024-07-09,2024-07-13,SUP002,Reliance Logistics,Delhi,India,P010,LED Modules,Electronics,WH-Mumbai,Road,7,656.25,4593.74,137.81,0,4731.55,4,4,Delivered,Advance,4.3
ORD-2024-0177,2024-07-10,2024-07-14,,SUP007,Gati Ltd,Kolkata,India,P008,Chemical Compounds,Chemicals,WH-Mumbai,Road,2,1914.18,3828.36,114.85,8,3636.94,4,0,Cancelled,Net 30,
ORD-2024-0076,2024-07-14,2024-07-19,,SUP006,DTDC Courier,Hyderabad,India,P010,LED Modules,Electronics,WH-Mumbai,Road,9,586.32,5276.84,158.31,8,5013.0,5,0,In Transit,COD,
ORD-2024-0089,2024-07-14,2024-07-17,,SUP005,Mahindra Logistics,Pune,India,P008,Chemical Compounds,Chemicals,WH-Bangalore,Road,9,1944.38,17499.4,524.98,0,18024.38,3,0,Cancelled,Net 45,
ORD-2024-0155,2024-07-15,2024-07-24,2024-07-24,SUP004,BlueDart Express,Bangalore,India,P008,Chemical Compounds,Chemicals,WH-Chennai,Rail,4,1647.96,6591.82,131.84,0,6723.66,9,0,Delivered,Net 45,3.8
ORD-2024-0200,2024-07-15,2024-07-19,,SUP007,Gati Ltd,Kolkata,India,P003,Raw Steel Sheets,Raw Material,WH-Bangalore,Road,10,420.78,4207.83,126.23,0,4334.06,4,0,In Transit,COD,
ORD-2024-0009,2024-07-16,2024-07-26,,SUP007,Gati Ltd,Kolkata,India,P010,LED Modules,Electronics,WH-Chennai,Sea,24,603.61,14486.75,217.3,8,13545.11,10,0,Pending,Net 60,
ORD-2024-0040,2024-07-18,2024-07-23,,SUP001,Tata Steel Ltd,Mumbai,India,P010,LED Modules,Electronics,WH-Pune,Road,14,672.46,9414.45,282.43,5,9226.16,5,0,Cancelled,Net 45,
ORD-2024-0187,2024-07-21,2024-07-27,,SUP006,DTDC Courier,Hyderabad,India,P010,LED Modules,Electronics,WH-Chennai,Road,21,743.31,15609.54,468.29,0,16077.83,6,0,Cancelled,COD,
ORD-2024-0196,2024-07-21,2024-07-30,,SUP001,Tata Steel Ltd,Mumbai,India,P012,Safety Equipment,Consumables,WH-Mumbai,Rail,1,452.0,452.0,9.04,0,461.04,9,0,In Transit,COD,
ORD-2024-0182,2024-07-22,2024-07-28,2024-08-05,SUP006,DTDC Courier,Hyderabad,India,P001,Electronic Components,Electronics,WH-Bangalore,Rail,7,804.47,5631.29,112.63,2,5631.29,6,8,Delayed,Net 30,
ORD-2024-0071,2024-07-22,2024-07-25,,SUP002,Reliance Logistics,Delhi,India,P006,Hydraulic Pumps,Machinery,WH-Mumbai,Air,4,2795.24,11180.96,894.48,0,12075.44,3,0,Pending,Net 45,
ORD-2024-0178,2024-07-26,2024-07-29,2024-07-29,SUP007,Gati Ltd,Kolkata,India,P007,Packaging Material,Consumables,WH-Mumbai,Road,83,164.41,13646.37,409.39,2,13782.83,3,0,Delivered,COD,4.8
ORD-2024-0028,2024-07-29,2024-08-01,,SUP004,BlueDart Express,Bangalore,India,P005,Copper Wiring,Electronics,WH-Bangalore,Road,16,936.5,14983.94,449.52,5,14684.26,3,0,Cancelled,Net 60,
ORD-2024-0090,2024-07-30,2024-08-02,2024-08-02,SUP006,DTDC Courier,Hyderabad,India,P008,Chemical Compounds,Chemicals,WH-Mumbai,Road,3,1929.07,5787.21,173.62,2,5845.09,3,0,Delivered,Net 30,3.2
ORD-2024-0087,2024-08-03,2024-08-08,2024-08-08,SUP002,Reliance Logistics,Delhi,India,P012,Safety Equipment,Consumables,WH-Pune,Road,3,454.36,1363.08,40.89,8,1294.92,5,0,Delivered,Net 60,3.9
ORD-2024-0048,2024-08-10,2024-08-15,,SUP003,DHL Supply Chain,Chennai,India,P012,Safety Equipment,Consumables,WH-Pune,Road,31,426.81,13231.16,396.93,5,12966.53,5,0,Cancelled,Net 60,
ORD-2024-0107,2024-08-12,2024-08-18,,SUP003,DHL Supply Chain,Chennai,India,P006,Hydraulic Pumps,Machinery,WH-Chennai,Road,5,2282.73,11413.64,342.41,2,11527.78,6,0,Pending,Net 30,
